,zaman_mazi_sadeh,zaman_mazi_estemrari,zaman_mazi_baeid,zaman_mazi_eltezami,mazi_mostamar,mozare_ekhbari,mozare_eltezami,mozare_estemrari,َAyandeh,Amr
513,دونستیم,می دونستیم,دونسته بودیم,دونسته باشیم,داشتیم  می دونستیم,می دونیم,بدونیم,داریم  می دونیم,می خوایم بدونیم,بدونیم
514,دونستین,می دونستین,دونسته بودین,دونسته باشین,داشتین  می دونستین,می دونین,بدونین,دارین  می دونین,می خواین بدونین,بدونین
515,دونستن,می دونستن,دونسته بودن,دونسته باشن,داشتن  می دونستن,می دونن,بدونن,دارن  می دونن,می خوان بدونن,بدونن
516,در زدم,در می زدم,در زده بودم,در زده باشم,داشتم در می زدم,در می زنم,در بزنم,دارم در می زنم,می خوام در بزنم,-
517,در زدی,در می زدی,در زده بودی,در زده باشی,داشتی در می زدی,در می زنی,در بزنی,داری در می زنی,می خوای در بزنی,در بزن
518,در زد,در می زد,در زده بود,در زده باش,داشته در می زده,در می زنه,در بزنه,داره در می زنه,می خواد در بزنه,در بزنه
519,در زدیم,در می زدیم,در زده بودیم,در زده باشیم,داشتیم در می زدیم,در می زنیم,در بزنیم,داریم در می زنیم,می خوایم در بزنیم,در بزنیم
520,در زدین,در می زدین,در زده بودین,در زده باشین,داشتین در می زدین,در می زنین,در بزنین,دارین در می زنین,می خواین در بزنین,در بزنین
521,در زدن,در می زدن,در زده بودن,در زده باشن,داشتن در می زدن,در می زنن,در بزنن,دارن در می زنن,می خوان در بزنن,در بزنن
522,درس خوندم,درس می خوندم,درس خونده بودم,درس خونده باشم,داشتم درس می خوندم,درس می خونم,درس بخونم,دارم درس می خونم,می خوام درس بخونم,-
523,درس خوندی,درس می خوندی,درس خونده بودی,درس خونده باشی,داشتی درس می خوندی,درس می خونی,درس بخونی,داری درس می خونی,می خوای درس بخونی,درس بخون
524,درس خوند,درس می خوند,درس خونده بود,درس خونده باش,داشته درس می خونده,درس می خونه,درس بخونه,داره درس می خونه,می خواد درس بخونه,درس بخونه
525,درس خوندیم,درس می خوندیم,درس خونده بودیم,درس خونده باشیم,داشتیم درس می خوندیم,درس می خونیم,درس بخونیم,داریم درس می خونیم,می خوایم درس بخونیم,درس بخونیم
526,درس خوندین,درس می خوندین,درس خونده بودین,درس خونده باشین,داشتین درس می خوندین,درس می خونین,درس بخونین,دارین درس می خونین,می خواین درس بخونین,درس بخونین
527,درس خوندن,درس می خوندن,درس خونده بودن,درس خونده باشن,داشتن درس می خوندن,درس می خونن,درس بخونن,دارن درس می خونن,می خوان درس بخونن,درس بخونن
528,درست کردم,درست می کردم,درست کرده بودم,درست کرده باشم,داشتم درست می کردم,درست می کنم,درست بکنم,دارم درست می کنم,می خوام درست بکنم,-
529,درست کردی,درست می کردی,درست کرده بودی,درست کرده باشی,داشتی درست می کردی,درست می کنی,درست بکنی,داری درست می کنی,می خوای درست بکنی,درست بکن
530,درست کرد,درست می کرد,درست کرده بود,درست کرده باش,داشته درست می کرده,درست می کنه,درست بکنه,داره درست می کنه,می خواد درست بکنه,درست بکنه
531,درست کردیم,درست می کردیم,درست کرده بودیم,درست کرده باشیم,داشتیم درست می کردیم,درست می کنیم,درست بکنیم,داریم درست می کنیم,می خوایم درست بکنیم,درست بکنیم
532,درست کردین,درست می کردین,درست کرده بودین,درست کرده باشین,داشتین درست می کردین,درست می کنین,درست بکنین,دارین درست می کنین,می خواین درست بکنین,درست بکنین
533,درست کردن,درست می کردن,درست کرده بودن,درست کرده باشن,داشتن درست می کردن,درست می کنن,درست بکنن,دارن درست می کنن,می خوان درست بکنن,درست بکنن
534,دروغ گفتم,دروغ می گفتم,دروغ گفته بودم,دروغ گفته باشم,داشتم دروغ می گفتم,دروغ می گویم,دروغ بگم,دارم دروغ می گم,می خوام دروغ بگم,-
535,دروغ گفتی,دروغ می گفتی,دروغ گفته بودی,دروغ گفته باشی,داشتی دروغ می گفتی,دروغ می گویی,دروغ بگی,داری دروغ می گی,می خوای دروغ بگی,دروغ بگو
536,دروغ گفت,دروغ می گفت,دروغ گفته بود,دروغ گفته باش,داشته دروغ می گفته,دروغ می گه,دروغ بگه,داره دروغ می گه,می خواد دروغ بگه,دروغ بگه
537,دروغ گفتیم,دروغ می گفتیم,دروغ گفته بودیم,دروغ گفته باشیم,داشتیم دروغ می گفتیم,دروغ می گوییم,دروغ بگیم,داریم دروغ می گیم,می خوایم دروغ بگیم,دروغ بگیم
538,دروغ گفتین,دروغ می گفتین,دروغ گفته بودین,دروغ گفته باشین,داشتین دروغ می گفتین,دروغ می گویین,دروغ بگین,دارین دروغ می گین,می خواین دروغ بگین,دروغ بگین
539,دروغ گفتن,دروغ می گفتن,دروغ گفته بودن,دروغ گفته باشن,داشتن دروغ می گفتن,دروغ می گن,دروغ بگن,دارن دروغ می گن,می خوان دروغ بگن,دروغ بگن
540,دریافت کردم,دریافت می کردم,دریافت کرده بودم,دریافت کرده باشم,داشتم دریافت می کردم,دریافت می کنم,دریافت بکنم,دارم دریافت می کنم,می خوام دریافت بکنم,-
541,دریافت کردی,دریافت می کردی,دریافت کرده بودی,دریافت کرده باشی,داشتی دریافت می کردی,دریافت می کنی,دریافت بکنی,داری دریافت می کنی,می خوای دریافت بکنی,دریافت بکن
542,دریافت کرد,دریافت می کرد,دریافت کرده بود,دریافت کرده باش,داشته دریافت می کرده,دریافت می کنه,دریافت بکنه,داره دریافت می کنه,می خواد دریافت بکنه,دریافت بکنه
543,دریافت کردیم,دریافت می کردیم,دریافت کرده بودیم,دریافت کرده باشیم,داشتیم دریافت می کردیم,دریافت می کنیم,دریافت بکنیم,داریم دریافت می کنیم,می خوایم دریافت بکنیم,دریافت بکنیم
544,دریافت کردین,دریافت می کردین,دریافت کرده بودین,دریافت کرده باشین,داشتین دریافت می کردین,دریافت می کنین,دریافت بکنین,دارین دریافت می کنین,می خواین دریافت بکنین,دریافت بکنین
545,دریافت کردن,دریافت می کردن,دریافت کرده بودن,دریافت کرده باشن,داشتن دریافت می کردن,دریافت می کنن,دریافت بکنن,دارن دریافت می کنن,می خوان دریافت بکنن,دریافت بکنن
546,دست زدم,دست می زدم,دست زده بودم,دست زده باشم,داشتم دست می زدم,دست می زنم,دست بزنم,دارم دست می زنم,می خوام دست بزنم,-
547,دست زدی,دست می زدی,دست زده بودی,دست زده باشی,داشتی دست می زدی,دست می زنی,دست بزنی,داری دست می زنی,می خوای دست بزنی,دست بزن
548,دست زد,دست می زد,دست زده بود,دست زده باش,داشته دست می زده,دست می زنه,دست بزنه,داره دست می زنه,می خواد دست بزنه,دست بزنه
549,دست زدیم,دست می زدیم,دست زده بودیم,دست زده باشیم,داشتیم دست می زدیم,دست می زنیم,دست بزنیم,داریم دست می زنیم,می خوایم دست بزنیم,دست بزنیم
550,دست زدین,دست می زدین,دست زده بودین,دست زده باشین,داشتین دست می زدین,دست می زنین,دست بزنین,دارین دست می زنین,می خواین دست بزنین,دست بزنین
551,دست زدن,دست می زدن,دست زده بودن,دست زده باشن,داشتن دست می زدن,دست می زنن,دست بزنن,دارن دست می زنن,می خوان دست بزنن,دست بزنن
552,دم کردم,دم می کردم,دم کرده بودم,دم کرده باشم,داشتم دم می کردم,دم می کنم,دم بکنم,دارم دم می کنم,می خوام دم بکنم,-
553,دم کردی,دم می کردی,دم کرده بودی,دم کرده باشی,داشتی دم می کردی,دم می کنی,دم بکنی,داری دم می کنی,می خوای دم بکنی,دم بکن
554,دم کرد,دم می کرد,دم کرده بود,دم کرده باش,داشته دم می کرده,دم می کنه,دم بکنه,داره دم می کنه,می خواد دم بکنه,دم بکنه
555,دم کردیم,دم می کردیم,دم کرده بودیم,دم کرده باشیم,داشتیم دم می کردیم,دم می کنیم,دم بکنیم,داریم دم می کنیم,می خوایم دم بکنیم,دم بکنیم
556,دم کردین,دم می کردین,دم کرده بودین,دم کرده باشین,داشتین دم می کردین,دم می کنین,دم بکنین,دارین دم می کنین,می خواین دم بکنین,دم بکنین
557,دم کردن,دم می کردن,دم کرده بودن,دم کرده باشن,داشتن دم می کردن,دم می کنن,دم بکنن,دارن دم می کنن,می خوان دم بکنن,دم بکنن
558,دنبال کردم,دنبال می کردم,دنبال کرده بودم,دنبال کرده باشم,داشتم دنبال می کردم,دنبال می کنم,دنبال بکنم,دارم دنبال می کنم,می خوام دنبال بکنم,-
559,دنبال کردی,دنبال می کردی,دنبال کرده بودی,دنبال کرده باشی,داشتی دنبال می کردی,دنبال می کنی,دنبال بکنی,داری دنبال می کنی,می خوای دنبال بکنی,دنبال بکن
560,دنبال کرد,دنبال می کرد,دنبال کرده بود,دنبال کرده باش,داشته دنبال می کرده,دنبال می کنه,دنبال بکنه,داره دنبال می کنه,می خواد دنبال بکنه,دنبال بکنه
561,دنبال کردیم,دنبال می کردیم,دنبال کرده بودیم,دنبال کرده باشیم,داشتیم دنبال می کردیم,دنبال می کنیم,دنبال بکنیم,داریم دنبال می کنیم,می خوایم دنبال بکنیم,دنبال بکنیم
562,دنبال کردین,دنبال می کردین,دنبال کرده بودین,دنبال کرده باشین,داشتین دنبال می کردین,دنبال می کنین,دنبال بکنین,دارین دنبال می کنین,می خواین دنبال بکنین,دنبال بکنین
563,دنبال کردن,دنبال می کردن,دنبال کرده بودن,دنبال کرده باشن,داشتن دنبال می کردن,دنبال می کنن,دنبال بکنن,دارن دنبال می کنن,می خوان دنبال بکنن,دنبال بکنن
564,دنبال گشتم,دنبال می گشتم,دنبال گشته بودم,دنبال گشته باشم,داشتم دنبال می گشتم,می گردم,بگردم,دارم  می گردم,می خوام بگردم,-
565,دنبال گشتی,دنبال می گشتی,دنبال گشته بودی,دنبال گشته باشی,داشتی دنبال می گشتی,می گردی,بگردی,داری  می گردی,می خوای بگردی,بگرد
566,دنبال گشت,دنبال می گشت,دنبال گشته بود,دنبال گشته باش,داشته دنبال می گشته,می گرده,بگرده,داره  می گرده,می خواد بگرده,بگرده
567,دنبال گشتیم,دنبال می گشتیم,دنبال گشته بودیم,دنبال گشته باشیم,داشتیم دنبال می گشتیم,می گردیم,بگردیم,داریم  می گردیم,می خوایم بگردیم,بگردیم
568,دنبال گشتین,دنبال می گشتین,دنبال گشته بودین,دنبال گشته باشین,داشتین دنبال می گشتین,می گردین,بگردین,دارین  می گردین,می خواین بگردین,بگردین
569,دنبال گشتن,دنبال می گشتن,دنبال گشته بودن,دنبال گشته باشن,داشتن دنبال می گشتن,می گردن,بگردن,دارن  می گردن,می خوان بگردن,بگردن
570,دوختم,می دوختم,دوخته بودم,دوخته باشم,داشتم  می دوختم,می دوزم,بدوزم,دارم  می دوزم,می خوام بدوزم,-
571,دوختی,می دوختی,دوخته بودی,دوخته باشی,داشتی  می دوختی,می دوزی,بدوزی,داری  می دوزی,می خوای بدوزی,بدوز
572,دوخت,می دوخت,دوخته بود,دوخته باش,داشته  می دوخته,می دوزه,بدوزه,داره  می دوزه,می خواد بدوزه,بدوزه
573,دوختیم,می دوختیم,دوخته بودیم,دوخته باشیم,داشتیم  می دوختیم,می دوزیم,بدوزیم,داریم  می دوزیم,می خوایم بدوزیم,بدوزیم
574,دوختین,می دوختین,دوخته بودین,دوخته باشین,داشتین  می دوختین,می دوزین,بدوزین,دارین  می دوزین,می خواین بدوزین,بدوزین
575,دوختن,می دوختن,دوخته بودن,دوخته باشن,داشتن  می دوختن,می دوزن,بدوزن,دارن  می دوزن,می خوان بدوزن,بدوزن
576,دوست داشتم,دوست می داشتم,دوست داشته بودم,دوست داشته باشم,داشتم دوست می داشتم,دوست می دارم,دوست بدارم,دارم دوست می دارم,می خوام دوست بدارم,-
577,دوست داشتی,دوست می داشتی,دوست داشته بودی,دوست داشته باشی,داشتی دوست می داشتی,دوست می داری,دوست بداری,داری دوست می داری,می خوای دوست بداری,دوست بدار
578,دوست داشت,دوست می داشت,دوست داشته بود,دوست داشته باش,داشته دوست می داشته,دوست می داره,دوست بداره,داره دوست می داره,می خواد دوست بداره,دوست بداره
579,دوست داشتیم,دوست می داشتیم,دوست داشته بودیم,دوست داشته باشیم,داشتیم دوست می داشتیم,دوست می داریم,دوست بداریم,داریم دوست می داریم,می خوایم دوست بداریم,دوست بداریم
580,دوست داشتین,دوست می داشتین,دوست داشته بودین,دوست داشته باشین,داشتین دوست می داشتین,دوست می دارین,دوست بدارین,دارین دوست می دارین,می خواین دوست بدارین,دوست بدارین
581,دوست داشتن,دوست می داشتن,دوست داشته بودن,دوست داشته باشن,داشتن دوست می داشتن,دوست می دارن,دوست بدارن,دارن دوست می دارن,می خوان دوست بدارن,دوست بدارن
582,دوش گرفتم,دوش می گرفتم,دوش گرفته بودم,دوش گرفته باشم,داشتم دوش می گرفتم,دوش می گیرم,دوش بگیرم,دارم دوش می گیرم,می خوام دوش بگیرم,-
583,دوش گرفتی,دوش می گرفتی,دوش گرفته بودی,دوش گرفته باشی,داشتی دوش می گرفتی,دوش می گیری,دوش بگیری,داری دوش می گیری,می خوای دوش بگیری,دوش بگیر
584,دوش گرفت,دوش می گرفت,دوش گرفته بود,دوش گرفته باش,داشته دوش می گرفته,دوش می گیره,دوش بگیره,داره دوش می گیره,می خواد دوش بگیره,دوش بگیره
585,دوش گرفتیم,دوش می گرفتیم,دوش گرفته بودیم,دوش گرفته باشیم,داشتیم دوش می گرفتیم,دوش می گیریم,دوش بگیریم,داریم دوش می گیریم,می خوایم دوش بگیریم,دوش بگیریم
586,دوش گرفتین,دوش می گرفتین,دوش گرفته بودین,دوش گرفته باشین,داشتین دوش می گرفتین,دوش می گیرین,دوش بگیرین,دارین دوش می گیرین,می خواین دوش بگیرین,دوش بگیرین
587,دوش گرفتن,دوش می گرفتن,دوش گرفته بودن,دوش گرفته باشن,داشتن دوش می گرفتن,دوش می گیرن,دوش بگیرن,دارن دوش می گیرن,می خوان دوش بگیرن,دوش بگیرن
588,دویدم,می دویدم,دویده بودم,دویده باشم,داشتم  می دویدم,می دوم,بدوم,دارم  می دوم,می خوام بدوم,-
589,دویدی,می دویدی,دویده بودی,دویده باشی,داشتی  می دویدی,می دوی,بدوی,داری  می دوی,می خوای بدوی,بدو
590,دوید,می دوید,دویده بود,دویده باش,داشته  می دویده,می دوه,بدوه,داره  می دوه,می خواد بدوه,بدوه
591,دویدیم,می دویدیم,دویده بودیم,دویده باشیم,داشتیم  می دویدیم,می دویم,بدویم,داریم  می دویم,می خوایم بدویم,بدویم
592,دویدین,می دویدین,دویده بودین,دویده باشین,داشتین  می دویدین,می دوین,بدوین,دارین  می دوین,می خواین بدوین,بدوین
593,دویدن,می دویدن,دویده بودن,دویده باشن,داشتن  می دویدن,می دون,بدون,دارن  می دون,می خوان بدون,بدون
594,دیدم,می دیدم,دیده بودم,دیده باشم,داشتم  می دیدم,می بینم,ببینم,دارم  می بینم,می خوام ببینم,-
595,دیدی,می دیدی,دیده بودی,دیده باشی,داشتی  می دیدی,می بینی,ببینی,داری  می بینی,می خوای ببینی,ببین
596,دید,می دید,دیده بود,دیده باش,داشته  می دیده,می بینه,ببینه,داره  می بینه,می خواد ببینه,ببینه
597,دیدیم,می دیدیم,دیده بودیم,دیده باشیم,داشتیم  می دیدیم,می بینیم,ببینیم,داریم  می بینیم,می خوایم ببینیم,ببینیم
598,دیدین,می دیدین,دیده بودین,دیده باشین,داشتین  می دیدین,می بینین,ببینین,دارین  می بینین,می خواین ببینین,ببینین
599,دیدن,می دیدن,دیده بودن,دیده باشن,داشتن  می دیدن,می بینن,ببینن,دارن  می بینن,می خوان ببینن,ببینن
600,رسیدم,می رسیدم,رسیده بودم,رسیده باشم,داشتم  می رسیدم,می رسم,برسم,دارم  می رسم,می خوام برسم,-
601,رسیدی,می رسیدی,رسیده بودی,رسیده باشی,داشتی  می رسیدی,می رسی,برسی,داری  می رسی,می خوای برسی,برس
602,رسید,می رسید,رسیده بود,رسیده باش,داشته  می رسیده,می رسه,برسه,داره  می رسه,می خواد برسه,برسه
603,رسیدیم,می رسیدیم,رسیده بودیم,رسیده باشیم,داشتیم  می رسیدیم,می رسیم,برسیم,داریم  می رسیم,می خوایم برسیم,برسیم
604,رسیدین,می رسیدین,رسیده بودین,رسیده باشین,داشتین  می رسیدین,می رسین,برسین,دارین  می رسین,می خواین برسین,برسین
605,رسیدن,می رسیدن,رسیده بودن,رسیده باشن,داشتن  می رسیدن,می رسن,برسن,دارن  می رسن,می خوان برسن,برسن
606,رفتم,می رفتم,رفته بودم,رفته باشم,داشتم  می رفتم,می رم,برم,دارم  می رم,می خوام برم,-
607,رفتی,می رفتی,رفته بودی,رفته باشی,داشتی  می رفتی,می ری,بری,داری  می ری,می خوای بری,برو
608,رفت,می رفت,رفته بود,رفته باش,داشته  می رفته,می ره,بره,داره  می ره,می خواد بره,بره
609,رفتیم,می رفتیم,رفته بودیم,رفته باشیم,داشتیم  می رفتیم,می ریم,بریم,داریم  می ریم,می خوایم بریم,بریم
610,رفتین,می رفتین,رفته بودین,رفته باشین,داشتین  می رفتین,می رین,برین,دارین  می رین,می خواین برین,برین
611,رفتن,می رفتن,رفته بودن,رفته باشن,داشتن  می رفتن,می رن,برن,دارن  می رن,می خوان برن,برن
612,رقصیدم,می رقصیدم,رقصیده بودم,رقصیده باشم,داشتم  می رقصیدم,می رقصم,برقصم,دارم  می رقصم,می خوام برقصم,-
613,رقصیدی,می رقصیدی,رقصیده بودی,رقصیده باشی,داشتی  می رقصیدی,می رقصی,برقصی,داری  می رقصی,می خوای برقصی,برقص
614,رقصید,می رقصید,رقصیده بود,رقصیده باش,داشته  می رقصیده,می رقصه,برقصه,داره  می رقصه,می خواد برقصه,برقصه
615,رقصیدیم,می رقصیدیم,رقصیده بودیم,رقصیده باشیم,داشتیم  می رقصیدیم,می رقصیم,برقصیم,داریم  می رقصیم,می خوایم برقصیم,برقصیم
616,رقصیدین,می رقصیدین,رقصیده بودین,رقصیده باشین,داشتین  می رقصیدین,می رقصین,برقصین,دارین  می رقصین,می خواین برقصین,برقصین
617,رقصیدن,می رقصیدن,رقصیده بودن,رقصیده باشن,داشتن  می رقصیدن,می رقصن,برقصن,دارن  می رقصن,می خوان برقصن,برقصن
618,رنده کردم,رنده می کردم,رنده کرده بودم,رنده کرده باشم,داشتم رنده می کردم,رنده می کنم,رنده بکنم,دارم رنده می کنم,می خوام رنده بکنم,-
619,رنده کردی,رنده می کردی,رنده کرده بودی,رنده کرده باشی,داشتی رنده می کردی,رنده می کنی,رنده بکنی,داری رنده می کنی,می خوای رنده بکنی,رنده بکن
620,رنده کرد,رنده می کرد,رنده کرده بود,رنده کرده باش,داشته رنده می کرده,رنده می کنه,رنده بکنه,داره رنده می کنه,می خواد رنده بکنه,رنده بکنه
621,رنده کردیم,رنده می کردیم,رنده کرده بودیم,رنده کرده باشیم,داشتیم رنده می کردیم,رنده می کنیم,رنده بکنیم,داریم رنده می کنیم,می خوایم رنده بکنیم,رنده بکنیم
622,رنده کردین,رنده می کردین,رنده کرده بودین,رنده کرده باشین,داشتین رنده می کردین,رنده می کنین,رنده بکنین,دارین رنده می کنین,می خواین رنده بکنین,رنده بکنین
623,رنده کردن,رنده می کردن,رنده کرده بودن,رنده کرده باشن,داشتن رنده می کردن,رنده می کنن,رنده بکنن,دارن رنده می کنن,می خوان رنده بکنن,رنده بکنن
624,ریختم,می ریختم,ریخته بودم,ریخته باشم,داشتم  می ریختم,می ریزم,بریزم,دارم  می ریزم,می خوام بریزم,-
625,ریختی,می ریختی,ریخته بودی,ریخته باشی,داشتی  می ریختی,می ریزی,بریزی,داری  می ریزی,می خوای بریزی,بریز
626,ریخت,می ریخت,ریخته بود,ریخته باش,داشته  می ریخته,می ریزه,بریزه,داره  می ریزه,می خواد بریزه,بریزه
627,ریختیم,می ریختیم,ریخته بودیم,ریخته باشیم,داشتیم  می ریختیم,می ریزیم,بریزیم,داریم  می ریزیم,می خوایم بریزیم,بریزیم
628,ریختین,می ریختین,ریخته بودین,ریخته باشین,داشتین  می ریختین,می ریزین,بریزین,دارین  می ریزین,می خواین بریزین,بریزین
629,ریختن,می ریختن,ریخته بودن,ریخته باشن,داشتن  می ریختن,می ریزن,بریزن,دارن  می ریزن,می خوان بریزن,بریزن
630,زاییدم,می زاییدم,زاییده بودم,زاییده باشم,داشتم  می زاییدم,می زام,بزام,دارم  می زام,می خوام بزام,-
631,زاییدی,می زاییدی,زاییده بودی,زاییده باشی,داشتی  می زاییدی,می زای,بزای,داری  می زای,می خوای بزای,بزا
632,زایید,می زایید,زاییده بود,زاییده باش,داشته  می زاییده,می زاد,بزاد,داره  می زاد,می خواد بزاد,بزاد
633,زاییدیم,می زاییدیم,زاییده بودیم,زاییده باشیم,داشتیم  می زاییدیم,می زایم,بزایم,داریم  می زایم,می خوایم بزایم,بزایم
634,زاییدین,می زاییدین,زاییده بودین,زاییده باشین,داشتین  می زاییدین,می زاین,بزاین,دارین  می زاین,می خواین بزاین,بزاین
635,زاییدن,می زاییدن,زاییده بودن,زاییده باشن,داشتن  می زاییدن,می زان,بزان,دارن  می زان,می خوان بزان,بزان
636,زدم,می زدم,زده بودم,زده باشم,داشتم  می زدم,می زنم,بزنم,دارم  می زنم,می خوام بزنم,-
637,زدی,می زدی,زده بودی,زده باشی,داشتی  می زدی,می زنی,بزنی,داری  می زنی,می خوای بزنی,بزن
638,زد,می زد,زده بود,زده باش,داشته  می زده,می زنه,بزنه,داره  می زنه,می خواد بزنه,بزنه
639,زدیم,می زدیم,زده بودیم,زده باشیم,داشتیم  می زدیم,می زنیم,بزنیم,داریم  می زنیم,می خوایم بزنیم,بزنیم
640,زدین,می زدین,زده بودین,زده باشین,داشتین  می زدین,می زنین,بزنین,دارین  می زنین,می خواین بزنین,بزنین
641,زدن,می زدن,زده بودن,زده باشن,داشتن  می زدن,می زنن,بزنن,دارن  می زنن,می خوان بزنن,بزنن
642,زندگی کردم,زندگی می کردم,زندگی کرده بودم,زندگی کرده باشم,داشتم زندگی می کردم,زندگی می کنم,زندگی بکنم,دارم زندگی می کنم,می خوام زندگی بکنم,-
643,زندگی کردی,زندگی می کردی,زندگی کرده بودی,زندگی کرده باشی,داشتی زندگی می کردی,زندگی می کنی,زندگی بکنی,داری زندگی می کنی,می خوای زندگی بکنی,زندگی بکن
644,زندگی کرد,زندگی می کرد,زندگی کرده بود,زندگی کرده باش,داشته زندگی می کرده,زندگی می کنه,زندگی بکنه,داره زندگی می کنه,می خواد زندگی بکنه,زندگی بکنه
645,زندگی کردیم,زندگی می کردیم,زندگی کرده بودیم,زندگی کرده باشیم,داشتیم زندگی می کردیم,زندگی می کنیم,زندگی بکنیم,داریم زندگی می کنیم,می خوایم زندگی بکنیم,زندگی بکنیم
646,زندگی کردین,زندگی می کردین,زندگی کرده بودین,زندگی کرده باشین,داشتین زندگی می کردین,زندگی می کنین,زندگی بکنین,دارین زندگی می کنین,می خواین زندگی بکنین,زندگی بکنین
647,زندگی کردن,زندگی می کردن,زندگی کرده بودن,زندگی کرده باشن,داشتن زندگی می کردن,زندگی می کنن,زندگی بکنن,دارن زندگی می کنن,می خوان زندگی بکنن,زندگی بکنن
648,زنگ زدم,زنگ می زدم,زنگ زده بودم,زنگ زده باشم,داشتم زنگ می زدم,زنگ می زنم,زنگ بزنم,دارم زنگ می زنم,می خوام زنگ بزنم,-
649,زنگ زدی,زنگ می زدی,زنگ زده بودی,زنگ زده باشی,داشتی زنگ می زدی,زنگ می زنی,زنگ بزنی,داری زنگ می زنی,می خوای زنگ بزنی,زنگ بزن
650,زنگ زد,زنگ می زد,زنگ زده بود,زنگ زده باش,داشته زنگ می زده,زنگ می زنه,زنگ بزنه,داره زنگ می زنه,می خواد زنگ بزنه,زنگ بزنه
651,زنگ زدیم,زنگ می زدیم,زنگ زده بودیم,زنگ زده باشیم,داشتیم زنگ می زدیم,زنگ می زنیم,زنگ بزنیم,داریم زنگ می زنیم,می خوایم زنگ بزنیم,زنگ بزنیم
652,زنگ زدین,زنگ می زدین,زنگ زده بودین,زنگ زده باشین,داشتین زنگ می زدین,زنگ می زنین,زنگ بزنین,دارین زنگ می زنین,می خواین زنگ بزنین,زنگ بزنین
653,زنگ زدن,زنگ می زدن,زنگ زده بودن,زنگ زده باشن,داشتن زنگ می زدن,زنگ می زنن,زنگ بزنن,دارن زنگ می زنن,می خوان زنگ بزنن,زنگ بزنن
654,ساختم,می ساختم,ساخته بودم,ساخته باشم,داشتم  می ساختم,می سازم,بسازم,دارم  می سازم,می خوام بسازم,-
655,ساختی,می ساختی,ساخته بودی,ساخته باشی,داشتی  می ساختی,می سازی,بسازی,داری  می سازی,می خوای بسازی,بساز
656,ساخت,می ساخت,ساخته بود,ساخته باش,داشته  می ساخته,می سازه,بسازه,داره  می سازه,می خواد بسازه,بسازه
657,ساختیم,می ساختیم,ساخته بودیم,ساخته باشیم,داشتیم  می ساختیم,می سازیم,بسازیم,داریم  می سازیم,می خوایم بسازیم,بسازیم
658,ساختین,می ساختین,ساخته بودین,ساخته باشین,داشتین  می ساختین,می سازین,بسازین,دارین  می سازین,می خواین بسازین,بسازین
659,ساختن,می ساختن,ساخته بودن,ساخته باشن,داشتن  می ساختن,می سازن,بسازن,دارن  می سازن,می خوان بسازن,بسازن
660,سؤال کردم,سؤال می کردم,سؤال کرده بودم,سؤال کرده باشم,داشتم سؤال می کردم,سؤال می کنم,سؤال بکنم,دارم سؤال می کنم,می خوام سؤال بکنم,-
661,سؤال کردی,سؤال می کردی,سؤال کرده بودی,سؤال کرده باشی,داشتی سؤال می کردی,سؤال می کنی,سؤال بکنی,داری سؤال می کنی,می خوای سؤال بکنی,سؤال بکن
662,سؤال کرد,سؤال می کرد,سؤال کرده بود,سؤال کرده باش,داشته سؤال می کرده,سؤال می کنه,سؤال بکنه,داره سؤال می کنه,می خواد سؤال بکنه,سؤال بکنه
663,سؤال کردیم,سؤال می کردیم,سؤال کرده بودیم,سؤال کرده باشیم,داشتیم سؤال می کردیم,سؤال می کنیم,سؤال بکنیم,داریم سؤال می کنیم,می خوایم سؤال بکنیم,سؤال بکنیم
664,سؤال کردین,سؤال می کردین,سؤال کرده بودین,سؤال کرده باشین,داشتین سؤال می کردین,سؤال می کنین,سؤال بکنین,دارین سؤال می کنین,می خواین سؤال بکنین,سؤال بکنین
665,سؤال کردن,سؤال می کردن,سؤال کرده بودن,سؤال کرده باشن,داشتن سؤال می کردن,سؤال می کنن,سؤال بکنن,دارن سؤال می کنن,می خوان سؤال بکنن,سؤال بکنن
666,سرخ کردم,سرخ می کردم,سرخ کرده بودم,سرخ کرده باشم,داشتم سرخ می کردم,سرخ می کنم,سرخ بکنم,دارم سرخ می کنم,می خوام سرخ بکنم,-
667,سرخ کردی,سرخ می کردی,سرخ کرده بودی,سرخ کرده باشی,داشتی سرخ می کردی,سرخ می کنی,سرخ بکنی,داری سرخ می کنی,می خوای سرخ بکنی,سرخ بکن
668,سرخ کرد,سرخ می کرد,سرخ کرده بود,سرخ کرده باش,داشته سرخ می کرده,سرخ می کنه,سرخ بکنه,داره سرخ می کنه,می خواد سرخ بکنه,سرخ بکنه
669,سرخ کردیم,سرخ می کردیم,سرخ کرده بودیم,سرخ کرده باشیم,داشتیم سرخ می کردیم,سرخ می کنیم,سرخ بکنیم,داریم سرخ می کنیم,می خوایم سرخ بکنیم,سرخ بکنیم
670,سرخ کردین,سرخ می کردین,سرخ کرده بودین,سرخ کرده باشین,داشتین سرخ می کردین,سرخ می کنین,سرخ بکنین,دارین سرخ می کنین,می خواین سرخ بکنین,سرخ بکنین
671,سرخ کردن,سرخ می کردن,سرخ کرده بودن,سرخ کرده باشن,داشتن سرخ می کردن,سرخ می کنن,سرخ بکنن,دارن سرخ می کنن,می خوان سرخ بکنن,سرخ بکنن
