,zaman_mazi_sadeh,zaman_mazi_estemrari,zaman_mazi_baeid,zaman_mazi_eltezami,mazi_mostamar,mozare_ekhbari,mozare_eltezami,mozare_estemrari,َAyandeh,Amr
53,ارزیدن,می ارزیدن,ارزیده بودن,ارزیده باشن,داشتن  می ارزیدن,می ارزن,بیارزن,دارن  می ارزن,می خوان بیارزن,بیارزن
54,استراحت کردم,استراحت می کردم,استراحت کرده بودم,استراحت کرده باشم,داشتم استراحت می کردم,استراحت می کنم,استراحت بکنم,دارم استراحت می کنم,می خوام استراحت بکنم,-
55,استراحت کردی,استراحت می کردی,استراحت کرده بودی,استراحت کرده باشی,داشتی استراحت می کردی,استراحت می کنی,استراحت بکنی,داری استراحت می کنی,می خوای استراحت بکنی,استراحت بکن
56,استراحت کرد,استراحت می کرد,استراحت کرده بود,استراحت کرده باش,داشته استراحت می کرده,استراحت می کنه,استراحت بکنه,داره استراحت می کنه,می خواد استراحت بکنه,استراحت بکنه
57,استراحت کردیم,استراحت می کردیم,استراحت کرده بودیم,استراحت کرده باشیم,داشتیم استراحت می کردیم,استراحت می کنیم,استراحت بکنیم,داریم استراحت می کنیم,می خوایم استراحت بکنیم,استراحت بکنیم
58,استراحت کردین,استراحت می کردین,استراحت کرده بودین,استراحت کرده باشین,داشتین استراحت می کردین,استراحت می کنین,استراحت بکنین,دارین استراحت می کنین,می خواین استراحت بکنین,استراحت بکنین
59,استراحت کردن,استراحت می کردن,استراحت کرده بودن,استراحت کرده باشن,داشتن استراحت می کردن,استراحت می کنن,استراحت بکنن,دارن استراحت می کنن,می خوان استراحت بکنن,استراحت بکنن
60,اضافه کردم,اضافه می کردم,اضافه کرده بودم,اضافه کرده باشم,داشتم اضافه می کردم,اضافه می کنم,اضافه بکنم,دارم اضافه می کنم,می خوام اضافه بکنم,-
61,اضافه کردی,اضافه می کردی,اضافه کرده بودی,اضافه کرده باشی,داشتی اضافه می کردی,اضافه می کنی,اضافه بکنی,داری اضافه می کنی,می خوای اضافه بکنی,اضافه بکن
62,اضافه کرد,اضافه می کرد,اضافه کرده بود,اضافه کرده باش,داشته اضافه می کرده,اضافه می کنه,اضافه بکنه,داره اضافه می کنه,می خواد اضافه بکنه,اضافه بکنه
63,اضافه کردیم,اضافه می کردیم,اضافه کرده بودیم,اضافه کرده باشیم,داشتیم اضافه می کردیم,اضافه می کنیم,اضافه بکنیم,داریم اضافه می کنیم,می خوایم اضافه بکنیم,اضافه بکنیم
