,roots,indicative_past.past_simple,indicative_past.past imperfective,indicative_past.past_progressive,indicative_past.past_narrative,indicative_past.past_precedent,indicative_present.present_simple,indicative_present.present_imperfective,indicative_present.present_progressive,indicative_future.future_simple,subjunctive_past.past_narrative,subjunctive_present.present_simple,imperative_present.present_simple
1,زدن,دست زدی,دست می‌زدی,داشتی دست می‌زدی,دست زده‌ای,دست زده بودی,دست زنی,دست می‌زنی,داری دست می‌زنی,دست خواهی زد,دست زده باشی,دست بزنی,دست بزن
2,زد,دست زد,دست می‌زد,داشت دست می‌زد,دست زده(است),دست زده بود,دست زند,دست می‌زند,دارد دست می‌زند,دست خواهد زد,دست زده باشد,دست بزند,دست بزند
3,زده,دست زدیم,دست می‌زدیم,داشتیم دست می‌زدیم,دست زده‌ایم,دست زده بودیم,دست زنیم,دست می‌زنیم,داریم دست می‌زنیم,دست خواهیم زد,دست زده باشیم,دست بزنیم,دست بزنیم
4,زن,دست زدید,دست می‌زدید,داشتید دست می‌زدید,دست زده‌اید,دست زده بودید,دست زنید,دست می‌زنید,دارید دست می‌زنید,دست خواهید زد,دست زده باشید,دست بزنید,دست بزنید
5,-,دست زدند,دست می‌زدند,داشتند دست می‌زدند,دست زده‌اند,دست زده بودند,دست زنند,دست می‌زنند,دارند دست می‌زنند,دست خواهند زد,دست زده باشند,دست بزنند,دست بزنند
0,دم کردن,دم کردم,دم می‌کردم,داشتم دم می‌کردم,دم کرده‌ام,دم کرده بودم,دم کنم,دم می‌کنم,دارم دم می‌کنم,دم خواهم کرد,دم کرده باشم,دم بکنم,-
1,کردن,دم کردی,دم می‌کردی,داشتی دم می‌کردی,دم کرده‌ای,دم کرده بودی,دم کنی,دم می‌کنی,داری دم می‌کنی,دم خواهی کرد,دم کرده باشی,دم بکنی,دم بکن
2,کرد,دم کرد,دم می‌کرد,داشت دم می‌کرد,دم کرده(است),دم کرده بود,دم کند,دم می‌کند,دارد دم می‌کند,دم خواهد کرد,دم کرده باشد,دم بکند,دم بکند
3,کرده,دم کردیم,دم می‌کردیم,داشتیم دم می‌کردیم,دم کرده‌ایم,دم کرده بودیم,دم کنیم,دم می‌کنیم,داریم دم می‌کنیم,دم خواهیم کرد,دم کرده باشیم,دم بکنیم,دم بکنیم
4,کن,دم کردید,دم می‌کردید,داشتید دم می‌کردید,دم کرده‌اید,دم کرده بودید,دم کنید,دم می‌کنید,دارید دم می‌کنید,دم خواهید کرد,دم کرده باشید,دم بکنید,دم بکنید
5,-,دم کردند,دم می‌کردند,داشتند دم می‌کردند,دم کرده‌اند,دم کرده بودند,دم کنند,دم می‌کنند,دارند دم می‌کنند,دم خواهند کرد,دم کرده باشند,دم بکنند,دم بکنند
0,دنبال کردن,دنبال کردم,دنبال می‌کردم,داشتم دنبال می‌کردم,دنبال کرده‌ام,دنبال کرده بودم,دنبال کنم,دنبال می‌کنم,دارم دنبال می‌کنم,دنبال خواهم کرد,دنبال کرده باشم,دنبال بکنم,-
1,کردن,دنبال کردی,دنبال می‌کردی,داشتی دنبال می‌کردی,دنبال کرده‌ای,دنبال کرده بودی,دنبال کنی,دنبال می‌کنی,داری دنبال می‌کنی,دنبال خواهی کرد,دنبال کرده باشی,دنبال بکنی,دنبال بکن
2,کرد,دنبال کرد,دنبال می‌کرد,داشت دنبال می‌کرد,دنبال کرده(است),دنبال کرده بود,دنبال کند,دنبال می‌کند,دارد دنبال می‌کند,دنبال خواهد کرد,دنبال کرده باشد,دنبال بکند,دنبال بکند
3,کرده,دنبال کردیم,دنبال می‌کردیم,داشتیم دنبال می‌کردیم,دنبال کرده‌ایم,دنبال کرده بودیم,دنبال کنیم,دنبال می‌کنیم,داریم دنبال می‌کنیم,دنبال خواهیم کرد,دنبال کرده باشیم,دنبال بکنیم,دنبال بکنیم
4,کن,دنبال کردید,دنبال می‌کردید,داشتید دنبال می‌کردید,دنبال کرده‌اید,دنبال کرده بودید,دنبال کنید,دنبال می‌کنید,دارید دنبال می‌کنید,دنبال خواهید کرد,دنبال کرده باشید,دنبال بکنید,دنبال بکنید
5,-,دنبال کردند,دنبال می‌کردند,داشتند دنبال می‌کردند,دنبال کرده‌اند,دنبال کرده بودند,دنبال کنند,دنبال می‌کنند,دارند دنبال می‌کنند,دنبال خواهند کرد,دنبال کرده باشند,دنبال بکنند,دنبال بکنند
0,دنبال گشتن,دنبال گشتم,دنبال می‌گشتم,داشتم دنبال می‌گشتم,دنبال گشته‌ام,دنبال گشته بودم,دنبال گردم,دنبال می‌گردم,دارم دنبال می‌گردم,دنبال خواهم گشت,دنبال گشته باشم,دنبال بگردم,-
1,گشتن,دنبال گشتی,دنبال می‌گشتی,داشتی دنبال می‌گشتی,دنبال گشته‌ای,دنبال گشته بودی,دنبال گردی,دنبال می‌گردی,داری دنبال می‌گردی,دنبال خواهی گشت,دنبال گشته باشی,دنبال بگردی,دنبال بگرد
2,گشت,دنبال گشت,دنبال می‌گشت,داشت دنبال می‌گشت,دنبال گشته(است),دنبال گشته بود,دنبال گردد,دنبال می‌گردد,دارد دنبال می‌گردد,دنبال خواهد گشت,دنبال گشته باشد,دنبال بگردد,دنبال بگردد
3,گشته,دنبال گشتیم,دنبال می‌گشتیم,داشتیم دنبال می‌گشتیم,دنبال گشته‌ایم,دنبال گشته بودیم,دنبال گردیم,دنبال می‌گردیم,داریم دنبال می‌گردیم,دنبال خواهیم گشت,دنبال گشته باشیم,دنبال بگردیم,دنبال بگردیم
4,گرد,دنبال گشتید,دنبال می‌گشتید,داشتید دنبال می‌گشتید,دنبال گشته‌اید,دنبال گشته بودید,دنبال گردید,دنبال می‌گردید,دارید دنبال می‌گردید,دنبال خواهید گشت,دنبال گشته باشید,دنبال بگردید,دنبال بگردید
5,-,دنبال گشتند,دنبال می‌گشتند,داشتند دنبال می‌گشتند,دنبال گشته‌اند,دنبال گشته بودند,دنبال گردند,دنبال می‌گردند,دارند دنبال می‌گردند,دنبال خواهند گشت,دنبال گشته باشند,دنبال بگردند,دنبال بگردند
0,دوختن,دوختم,می‌دوختم,داشتم می‌دوختم,دوخته‌ام,دوخته بودم,دوزم,می‌دوزم,دارم می‌دوزم,خواهم دوخت,دوخته باشم,بدوزم,-
1,دوخت,دوختی,می‌دوختی,داشتی می‌دوختی,دوخته‌ای,دوخته بودی,دوزی,می‌دوزی,داری می‌دوزی,خواهی دوخت,دوخته باشی,بدوزی,بدوز
2,دوخته,دوخت,می‌دوخت,داشت می‌دوخت,دوخته(است),دوخته بود,دوزد,می‌دوزد,دارد می‌دوزد,خواهد دوخت,دوخته باشد,بدوزد,بدوزد
3,دوز,دوختیم,می‌دوختیم,داشتیم می‌دوختیم,دوخته‌ایم,دوخته بودیم,دوزیم,می‌دوزیم,داریم می‌دوزیم,خواهیم دوخت,دوخته باشیم,بدوزیم,بدوزیم
4,-,دوختید,می‌دوختید,داشتید می‌دوختید,دوخته‌اید,دوخته بودید,دوزید,می‌دوزید,دارید می‌دوزید,خواهید دوخت,دوخته باشید,بدوزید,بدوزید
5,-,دوختند,می‌دوختند,داشتند می‌دوختند,دوخته‌اند,دوخته بودند,دوزند,می‌دوزند,دارند می‌دوزند,خواهند دوخت,دوخته باشند,بدوزند,بدوزند
0,دوست داشتن,دوست داشتم,دوست می‌داشتم,دوست داشته‌ام,دوست داشته بودم,دوست دارم,دوست می‌دارم,دوست خواهم داشت,دوست داشته باشم,دوست بدارم,-,-,-
1,داشتن,دوست داشتی,دوست می‌داشتی,دوست داشته‌ای,دوست داشته بودی,دوست داری,دوست می‌داری,دوست خواهی داشت,دوست داشته باشی,دوست بداری,دوست بدار,-,-
2,داشت,دوست داشت,دوست می‌داشت,دوست داشته(است),دوست داشته بود,دوست دارد,دوست می‌دارد,دوست خواهد داشت,دوست داشته باشد,دوست بدارد,دوست بدارد,-,-
3,داشته,دوست داشتیم,دوست می‌داشتیم,دوست داشته‌ایم,دوست داشته بودیم,دوست داریم,دوست می‌داریم,دوست خواهیم داشت,دوست داشته باشیم,دوست بداریم,دوست بداریم,-,-
4,دار,دوست داشتید,دوست می‌داشتید,دوست داشته‌اید,دوست داشته بودید,دوست دارید,دوست می‌دارید,دوست خواهید داشت,دوست داشته باشید,دوست بدارید,دوست بدارید,-,-
5,-,دوست داشتند,دوست می‌داشتند,دوست داشته‌اند,دوست داشته بودند,دوست دارند,دوست می‌دارند,دوست خواهند داشت,دوست داشته باشند,دوست بدارند,دوست بدارند,-,-
0,دوش گرفتن,دوش گرفتم,دوش می‌گرفتم,داشتم دوش می‌گرفتم,دوش گرفته‌ام,دوش گرفته بودم,دوش گیرم,دوش می‌گیرم,دارم دوش می‌گیرم,دوش خواهم گرفت,دوش گرفته باشم,دوش بگیرم,-
1,گرفتن,دوش گرفتی,دوش می‌گرفتی,داشتی دوش می‌گرفتی,دوش گرفته‌ای,دوش گرفته بودی,دوش گیری,دوش می‌گیری,داری دوش می‌گیری,دوش خواهی گرفت,دوش گرفته باشی,دوش بگیری,دوش بگیر
2,گرفت,دوش گرفت,دوش می‌گرفت,داشت دوش می‌گرفت,دوش گرفته(است),دوش گرفته بود,دوش گیرد,دوش می‌گیرد,دارد دوش می‌گیرد,دوش خواهد گرفت,دوش گرفته باشد,دوش بگیرد,دوش بگیرد
3,گرفته,دوش گرفتیم,دوش می‌گرفتیم,داشتیم دوش می‌گرفتیم,دوش گرفته‌ایم,دوش گرفته بودیم,دوش گیریم,دوش می‌گیریم,داریم دوش می‌گیریم,دوش خواهیم گرفت,دوش گرفته باشیم,دوش بگیریم,دوش بگیریم
4,گیر,دوش گرفتید,دوش می‌گرفتید,داشتید دوش می‌گرفتید,دوش گرفته‌اید,دوش گرفته بودید,دوش گیرید,دوش می‌گیرید,دارید دوش می‌گیرید,دوش خواهید گرفت,دوش گرفته باشید,دوش بگیرید,دوش بگیرید
5,-,دوش گرفتند,دوش می‌گرفتند,داشتند دوش می‌گرفتند,دوش گرفته‌اند,دوش گرفته بودند,دوش گیرند,دوش می‌گیرند,دارند دوش می‌گیرند,دوش خواهند گرفت,دوش گرفته باشند,دوش بگیرند,دوش بگیرند
0,دویدن,دویدم,می‌دویدم,داشتم می‌دویدم,دویده‌ام,دویده بودم,دوم,می‌دوم,دارم می‌دوم,خواهم دوید,دویده باشم,بدوم,-
1,دوید,دویدی,می‌دویدی,داشتی می‌دویدی,دویده‌ای,دویده بودی,دوی,می‌دوی,داری می‌دوی,خواهی دوید,دویده باشی,بدوی,بدو
2,دویده,دوید,می‌دوید,داشت می‌دوید,دویده(است),دویده بود,دود,می‌دود,دارد می‌دود,خواهد دوید,دویده باشد,بدود,بدود
3,دو,دویدیم,می‌دویدیم,داشتیم می‌دویدیم,دویده‌ایم,دویده بودیم,دویم,می‌دویم,داریم می‌دویم,خواهیم دوید,دویده باشیم,بدویم,بدویم
4,-,دویدید,می‌دویدید,داشتید می‌دویدید,دویده‌اید,دویده بودید,دوید,می‌دوید,دارید می‌دوید,خواهید دوید,دویده باشید,بدوید,بدوید
5,-,دویدند,می‌دویدند,داشتند می‌دویدند,دویده‌اند,دویده بودند,دوند,می‌دوند,دارند می‌دوند,خواهند دوید,دویده باشند,بدوند,بدوند
0,دیدن,دیدم,می‌دیدم,داشتم می‌دیدم,دیده‌ام,دیده بودم,بینم,می‌بینم,دارم می‌بینم,خواهم دید,دیده باشم,ببینم,-
1,دید,دیدی,می‌دیدی,داشتی می‌دیدی,دیده‌ای,دیده بودی,بینی,می‌بینی,داری می‌بینی,خواهی دید,دیده باشی,ببینی,ببین
2,دیده,دید,می‌دید,داشت می‌دید,دیده(است),دیده بود,بیند,می‌بیند,دارد می‌بیند,خواهد دید,دیده باشد,ببیند,ببیند
3,بین,دیدیم,می‌دیدیم,داشتیم می‌دیدیم,دیده‌ایم,دیده بودیم,بینیم,می‌بینیم,داریم می‌بینیم,خواهیم دید,دیده باشیم,ببینیم,ببینیم
4,-,دیدید,می‌دیدید,داشتید می‌دیدید,دیده‌اید,دیده بودید,بینید,می‌بینید,دارید می‌بینید,خواهید دید,دیده باشید,ببینید,ببینید
5,-,دیدند,می‌دیدند,داشتند می‌دیدند,دیده‌اند,دیده بودند,بینند,می‌بینند,دارند می‌بینند,خواهند دید,دیده باشند,ببینند,ببینند
0,رسیدن,رسیدم,می‌رسیدم,داشتم می‌رسیدم,رسیده‌ام,رسیده بودم,رسم,می‌رسم,دارم می‌رسم,خواهم رسید,رسیده باشم,برسم,-
1,رسید,رسیدی,می‌رسیدی,داشتی می‌رسیدی,رسیده‌ای,رسیده بودی,رسی,می‌رسی,داری می‌رسی,خواهی رسید,رسیده باشی,برسی,برس
2,رسیده,رسید,می‌رسید,داشت می‌رسید,رسیده(است),رسیده بود,رسد,می‌رسد,دارد می‌رسد,خواهد رسید,رسیده باشد,برسد,برسد
3,رس,رسیدیم,می‌رسیدیم,داشتیم می‌رسیدیم,رسیده‌ایم,رسیده بودیم,رسیم,می‌رسیم,داریم می‌رسیم,خواهیم رسید,رسیده باشیم,برسیم,برسیم
4,-,رسیدید,می‌رسیدید,داشتید می‌رسیدید,رسیده‌اید,رسیده بودید,رسید,می‌رسید,دارید می‌رسید,خواهید رسید,رسیده باشید,برسید,برسید
5,-,رسیدند,می‌رسیدند,داشتند می‌رسیدند,رسیده‌اند,رسیده بودند,رسند,می‌رسند,دارند می‌رسند,خواهند رسید,رسیده باشند,برسند,برسند
0,رفتن,رفتم,می‌رفتم,داشتم می‌رفتم,رفته‌ام,رفته بودم,روم,می‌روم,دارم می‌روم,خواهم رفت,رفته باشم,بروم,-
1,رفت,رفتی,می‌رفتی,داشتی می‌رفتی,رفته‌ای,رفته بودی,روی,می‌روی,داری می‌روی,خواهی رفت,رفته باشی,بروی,برو
2,رفته,رفت,می‌رفت,داشت می‌رفت,رفته(است),رفته بود,رود,می‌رود,دارد می‌رود,خواهد رفت,رفته باشد,برود,برود
3,رو,رفتیم,می‌رفتیم,داشتیم می‌رفتیم,رفته‌ایم,رفته بودیم,رویم,می‌رویم,داریم می‌رویم,خواهیم رفت,رفته باشیم,برویم,برویم
4,-,رفتید,می‌رفتید,داشتید می‌رفتید,رفته‌اید,رفته بودید,روید,می‌روید,دارید می‌روید,خواهید رفت,رفته باشید,بروید,بروید
5,-,رفتند,می‌رفتند,داشتند می‌رفتند,رفته‌اند,رفته بودند,روند,می‌روند,دارند می‌روند,خواهند رفت,رفته باشند,بروند,بروند
0,رقصیدن,رقصیدم,می‌رقصیدم,داشتم می‌رقصیدم,رقصیده‌ام,رقصیده بودم,رقصم,می‌رقصم,دارم می‌رقصم,خواهم رقصید,رقصیده باشم,برقصم,-
1,رقصید,رقصیدی,می‌رقصیدی,داشتی می‌رقصیدی,رقصیده‌ای,رقصیده بودی,رقصی,می‌رقصی,داری می‌رقصی,خواهی رقصید,رقصیده باشی,برقصی,برقص
2,رقصیده,رقصید,می‌رقصید,داشت می‌رقصید,رقصیده(است),رقصیده بود,رقصد,می‌رقصد,دارد می‌رقصد,خواهد رقصید,رقصیده باشد,برقصد,برقصد
3,رقص,رقصیدیم,می‌رقصیدیم,داشتیم می‌رقصیدیم,رقصیده‌ایم,رقصیده بودیم,رقصیم,می‌رقصیم,داریم می‌رقصیم,خواهیم رقصید,رقصیده باشیم,برقصیم,برقصیم
4,-,رقصیدید,می‌رقصیدید,داشتید می‌رقصیدید,رقصیده‌اید,رقصیده بودید,رقصید,می‌رقصید,دارید می‌رقصید,خواهید رقصید,رقصیده باشید,برقصید,برقصید
5,-,رقصیدند,می‌رقصیدند,داشتند می‌رقصیدند,رقصیده‌اند,رقصیده بودند,رقصند,می‌رقصند,دارند می‌رقصند,خواهند رقصید,رقصیده باشند,برقصند,برقصند
0,رنده کردن,رنده کردم,رنده می‌کردم,داشتم رنده می‌کردم,رنده کرده‌ام,رنده کرده بودم,رنده کنم,رنده می‌کنم,دارم رنده می‌کنم,رنده خواهم کرد,رنده کرده باشم,رنده بکنم,-
1,کردن,رنده کردی,رنده می‌کردی,داشتی رنده می‌کردی,رنده کرده‌ای,رنده کرده بودی,رنده کنی,رنده می‌کنی,داری رنده می‌کنی,رنده خواهی کرد,رنده کرده باشی,رنده بکنی,رنده بکن
2,کرد,رنده کرد,رنده می‌کرد,داشت رنده می‌کرد,رنده کرده(است),رنده کرده بود,رنده کند,رنده می‌کند,دارد رنده می‌کند,رنده خواهد کرد,رنده کرده باشد,رنده بکند,رنده بکند
3,کرده,رنده کردیم,رنده می‌کردیم,داشتیم رنده می‌کردیم,رنده کرده‌ایم,رنده کرده بودیم,رنده کنیم,رنده می‌کنیم,داریم رنده می‌کنیم,رنده خواهیم کرد,رنده کرده باشیم,رنده بکنیم,رنده بکنیم
4,کن,رنده کردید,رنده می‌کردید,داشتید رنده می‌کردید,رنده کرده‌اید,رنده کرده بودید,رنده کنید,رنده می‌کنید,دارید رنده می‌کنید,رنده خواهید کرد,رنده کرده باشید,رنده بکنید,رنده بکنید
5,-,رنده کردند,رنده می‌کردند,داشتند رنده می‌کردند,رنده کرده‌اند,رنده کرده بودند,رنده کنند,رنده می‌کنند,دارند رنده می‌کنند,رنده خواهند کرد,رنده کرده باشند,رنده بکنند,رنده بکنند
0,ریختن,ریختم,می‌ریختم,داشتم می‌ریختم,ریخته‌ام,ریخته بودم,ریزم,می‌ریزم,دارم می‌ریزم,خواهم ریخت,ریخته باشم,بریزم,-
1,ریخت,ریختی,می‌ریختی,داشتی می‌ریختی,ریخته‌ای,ریخته بودی,ریزی,می‌ریزی,داری می‌ریزی,خواهی ریخت,ریخته باشی,بریزی,بریز
2,ریخته,ریخت,می‌ریخت,داشت می‌ریخت,ریخته(است),ریخته بود,ریزد,می‌ریزد,دارد می‌ریزد,خواهد ریخت,ریخته باشد,بریزد,بریزد
3,ریز,ریختیم,می‌ریختیم,داشتیم می‌ریختیم,ریخته‌ایم,ریخته بودیم,ریزیم,می‌ریزیم,داریم می‌ریزیم,خواهیم ریخت,ریخته باشیم,بریزیم,بریزیم
4,-,ریختید,می‌ریختید,داشتید می‌ریختید,ریخته‌اید,ریخته بودید,ریزید,می‌ریزید,دارید می‌ریزید,خواهید ریخت,ریخته باشید,بریزید,بریزید
5,-,ریختند,می‌ریختند,داشتند می‌ریختند,ریخته‌اند,ریخته بودند,ریزند,می‌ریزند,دارند می‌ریزند,خواهند ریخت,ریخته باشند,بریزند,بریزند
0,زاییدن,زاییدم,می‌زاییدم,داشتم می‌زاییدم,زاییده‌ام,زاییده بودم,زایم,می‌زایم,دارم می‌زایم,خواهم زایید,زاییده باشم,بزایم,-
1,زایید,زاییدی,می‌زاییدی,داشتی می‌زاییدی,زاییده‌ای,زاییده بودی,زایی,می‌زایی,داری می‌زایی,خواهی زایید,زاییده باشی,بزایی,بزای
2,زاییده,زایید,می‌زایید,داشت می‌زایید,زاییده(است),زاییده بود,زاید,می‌زاید,دارد می‌زاید,خواهد زایید,زاییده باشد,بزاید,بزاید
3,زای,زاییدیم,می‌زاییدیم,داشتیم می‌زاییدیم,زاییده‌ایم,زاییده بودیم,زاییم,می‌زاییم,داریم می‌زاییم,خواهیم زایید,زاییده باشیم,بزاییم,بزاییم
4,-,زاییدید,می‌زاییدید,داشتید می‌زاییدید,زاییده‌اید,زاییده بودید,زایید,می‌زایید,دارید می‌زایید,خواهید زایید,زاییده باشید,بزایید,بزایید
5,-,زاییدند,می‌زاییدند,داشتند می‌زاییدند,زاییده‌اند,زاییده بودند,زایند,می‌زایند,دارند می‌زایند,خواهند زایید,زاییده باشند,بزایند,بزایند
0,زدن,زدم,می‌زدم,داشتم می‌زدم,زده‌ام,زده بودم,زنم,می‌زنم,دارم می‌زنم,خواهم زد,زده باشم,بزنم,-
1,زد,زدی,می‌زدی,داشتی می‌زدی,زده‌ای,زده بودی,زنی,می‌زنی,داری می‌زنی,خواهی زد,زده باشی,بزنی,بزن
2,زده,زد,می‌زد,داشت می‌زد,زده(است),زده بود,زند,می‌زند,دارد می‌زند,خواهد زد,زده باشد,بزند,بزند
3,زن,زدیم,می‌زدیم,داشتیم می‌زدیم,زده‌ایم,زده بودیم,زنیم,می‌زنیم,داریم می‌زنیم,خواهیم زد,زده باشیم,بزنیم,بزنیم
4,-,زدید,می‌زدید,داشتید می‌زدید,زده‌اید,زده بودید,زنید,می‌زنید,دارید می‌زنید,خواهید زد,زده باشید,بزنید,بزنید
5,-,زدند,می‌زدند,داشتند می‌زدند,زده‌اند,زده بودند,زنند,می‌زنند,دارند می‌زنند,خواهند زد,زده باشند,بزنند,بزنند
0,زندگی کردن,زندگی کردم,زندگی می‌کردم,داشتم زندگی می‌کردم,زندگی کرده‌ام,زندگی کرده بودم,زندگی کنم,زندگی می‌کنم,دارم زندگی می‌کنم,زندگی خواهم کرد,زندگی کرده باشم,زندگی بکنم,-
1,کردن,زندگی کردی,زندگی می‌کردی,داشتی زندگی می‌کردی,زندگی کرده‌ای,زندگی کرده بودی,زندگی کنی,زندگی می‌کنی,داری زندگی می‌کنی,زندگی خواهی کرد,زندگی کرده باشی,زندگی بکنی,زندگی بکن
2,کرد,زندگی کرد,زندگی می‌کرد,داشت زندگی می‌کرد,زندگی کرده(است),زندگی کرده بود,زندگی کند,زندگی می‌کند,دارد زندگی می‌کند,زندگی خواهد کرد,زندگی کرده باشد,زندگی بکند,زندگی بکند
3,کرده,زندگی کردیم,زندگی می‌کردیم,داشتیم زندگی می‌کردیم,زندگی کرده‌ایم,زندگی کرده بودیم,زندگی کنیم,زندگی می‌کنیم,داریم زندگی می‌کنیم,زندگی خواهیم کرد,زندگی کرده باشیم,زندگی بکنیم,زندگی بکنیم
4,کن,زندگی کردید,زندگی می‌کردید,داشتید زندگی می‌کردید,زندگی کرده‌اید,زندگی کرده بودید,زندگی کنید,زندگی می‌کنید,دارید زندگی می‌کنید,زندگی خواهید کرد,زندگی کرده باشید,زندگی بکنید,زندگی بکنید
5,-,زندگی کردند,زندگی می‌کردند,داشتند زندگی می‌کردند,زندگی کرده‌اند,زندگی کرده بودند,زندگی کنند,زندگی می‌کنند,دارند زندگی می‌کنند,زندگی خواهند کرد,زندگی کرده باشند,زندگی بکنند,زندگی بکنند
0,زنگ زدن,زنگ زدم,زنگ می‌زدم,داشتم زنگ می‌زدم,زنگ زده‌ام,زنگ زده بودم,زنگ زنم,زنگ می‌زنم,دارم زنگ می‌زنم,زنگ خواهم زد,زنگ زده باشم,زنگ بزنم,-
1,زدن,زنگ زدی,زنگ می‌زدی,داشتی زنگ می‌زدی,زنگ زده‌ای,زنگ زده بودی,زنگ زنی,زنگ می‌زنی,داری زنگ می‌زنی,زنگ خواهی زد,زنگ زده باشی,زنگ بزنی,زنگ بزن
2,زد,زنگ زد,زنگ می‌زد,داشت زنگ می‌زد,زنگ زده(است),زنگ زده بود,زنگ زند,زنگ می‌زند,دارد زنگ می‌زند,زنگ خواهد زد,زنگ زده باشد,زنگ بزند,زنگ بزند
3,زده,زنگ زدیم,زنگ می‌زدیم,داشتیم زنگ می‌زدیم,زنگ زده‌ایم,زنگ زده بودیم,زنگ زنیم,زنگ می‌زنیم,داریم زنگ می‌زنیم,زنگ خواهیم زد,زنگ زده باشیم,زنگ بزنیم,زنگ بزنیم
4,زن,زنگ زدید,زنگ می‌زدید,داشتید زنگ می‌زدید,زنگ زده‌اید,زنگ زده بودید,زنگ زنید,زنگ می‌زنید,دارید زنگ می‌زنید,زنگ خواهید زد,زنگ زده باشید,زنگ بزنید,زنگ بزنید
5,-,زنگ زدند,زنگ می‌زدند,داشتند زنگ می‌زدند,زنگ زده‌اند,زنگ زده بودند,زنگ زنند,زنگ می‌زنند,دارند زنگ می‌زنند,زنگ خواهند زد,زنگ زده باشند,زنگ بزنند,زنگ بزنند
0,ساختن,ساختم,می‌ساختم,داشتم می‌ساختم,ساخته‌ام,ساخته بودم,سازم,می‌سازم,دارم می‌سازم,خواهم ساخت,ساخته باشم,بسازم,-
1,ساخت,ساختی,می‌ساختی,داشتی می‌ساختی,ساخته‌ای,ساخته بودی,سازی,می‌سازی,داری می‌سازی,خواهی ساخت,ساخته باشی,بسازی,بساز
2,ساخته,ساخت,می‌ساخت,داشت می‌ساخت,ساخته(است),ساخته بود,سازد,می‌سازد,دارد می‌سازد,خواهد ساخت,ساخته باشد,بسازد,بسازد
3,ساز,ساختیم,می‌ساختیم,داشتیم می‌ساختیم,ساخته‌ایم,ساخته بودیم,سازیم,می‌سازیم,داریم می‌سازیم,خواهیم ساخت,ساخته باشیم,بسازیم,بسازیم
4,-,ساختید,می‌ساختید,داشتید می‌ساختید,ساخته‌اید,ساخته بودید,سازید,می‌سازید,دارید می‌سازید,خواهید ساخت,ساخته باشید,بسازید,بسازید
5,-,ساختند,می‌ساختند,داشتند می‌ساختند,ساخته‌اند,ساخته بودند,سازند,می‌سازند,دارند می‌سازند,خواهند ساخت,ساخته باشند,بسازند,بسازند
0,سؤال کردن,سؤال کردم,سؤال می‌کردم,داشتم سؤال می‌کردم,سؤال کرده‌ام,سؤال کرده بودم,سؤال کنم,سؤال می‌کنم,دارم سؤال می‌کنم,سؤال خواهم کرد,سؤال کرده باشم,سؤال بکنم,-
1,کردن,سؤال کردی,سؤال می‌کردی,داشتی سؤال می‌کردی,سؤال کرده‌ای,سؤال کرده بودی,سؤال کنی,سؤال می‌کنی,داری سؤال می‌کنی,سؤال خواهی کرد,سؤال کرده باشی,سؤال بکنی,سؤال بکن
2,کرد,سؤال کرد,سؤال می‌کرد,داشت سؤال می‌کرد,سؤال کرده(است),سؤال کرده بود,سؤال کند,سؤال می‌کند,دارد سؤال می‌کند,سؤال خواهد کرد,سؤال کرده باشد,سؤال بکند,سؤال بکند
3,کرده,سؤال کردیم,سؤال می‌کردیم,داشتیم سؤال می‌کردیم,سؤال کرده‌ایم,سؤال کرده بودیم,سؤال کنیم,سؤال می‌کنیم,داریم سؤال می‌کنیم,سؤال خواهیم کرد,سؤال کرده باشیم,سؤال بکنیم,سؤال بکنیم
4,کن,سؤال کردید,سؤال می‌کردید,داشتید سؤال می‌کردید,سؤال کرده‌اید,سؤال کرده بودید,سؤال کنید,سؤال می‌کنید,دارید سؤال می‌کنید,سؤال خواهید کرد,سؤال کرده باشید,سؤال بکنید,سؤال بکنید
5,-,سؤال کردند,سؤال می‌کردند,داشتند سؤال می‌کردند,سؤال کرده‌اند,سؤال کرده بودند,سؤال کنند,سؤال می‌کنند,دارند سؤال می‌کنند,سؤال خواهند کرد,سؤال کرده باشند,سؤال بکنند,سؤال بکنند
0,سرخ کردن,سرخ کردم,سرخ می‌کردم,داشتم سرخ می‌کردم,سرخ کرده‌ام,سرخ کرده بودم,سرخ کنم,سرخ می‌کنم,دارم سرخ می‌کنم,سرخ خواهم کرد,سرخ کرده باشم,سرخ بکنم,-
1,کردن,سرخ کردی,سرخ می‌کردی,داشتی سرخ می‌کردی,سرخ کرده‌ای,سرخ کرده بودی,سرخ کنی,سرخ می‌کنی,داری سرخ می‌کنی,سرخ خواهی کرد,سرخ کرده باشی,سرخ بکنی,سرخ بکن
2,کرد,سرخ کرد,سرخ می‌کرد,داشت سرخ می‌کرد,سرخ کرده(است),سرخ کرده بود,سرخ کند,سرخ می‌کند,دارد سرخ می‌کند,سرخ خواهد کرد,سرخ کرده باشد,سرخ بکند,سرخ بکند
3,کرده,سرخ کردیم,سرخ می‌کردیم,داشتیم سرخ می‌کردیم,سرخ کرده‌ایم,سرخ کرده بودیم,سرخ کنیم,سرخ می‌کنیم,داریم سرخ می‌کنیم,سرخ خواهیم کرد,سرخ کرده باشیم,سرخ بکنیم,سرخ بکنیم
