,roots,indicative_past.past_simple,indicative_past.past imperfective,indicative_past.past_progressive,indicative_past.past_narrative,indicative_past.past_precedent,indicative_present.present_simple,indicative_present.present_imperfective,indicative_present.present_progressive,indicative_future.future_simple,subjunctive_past.past_narrative,subjunctive_present.present_simple,imperative_present.present_simple
2,کرد,کمک کرد,کمک می‌کرد,داشت کمک می‌کرد,کمک کرده(است),کمک کرده بود,کمک کند,کمک می‌کند,دارد کمک می‌کند,کمک خواهد کرد,کمک کرده باشد,کمک بکند,کمک بکند
3,کرده,کمک کردیم,کمک می‌کردیم,داشتیم کمک می‌کردیم,کمک کرده‌ایم,کمک کرده بودیم,کمک کنیم,کمک می‌کنیم,داریم کمک می‌کنیم,کمک خواهیم کرد,کمک کرده باشیم,کمک بکنیم,کمک بکنیم
4,کن,کمک کردید,کمک می‌کردید,داشتید کمک می‌کردید,کمک کرده‌اید,کمک کرده بودید,کمک کنید,کمک می‌کنید,دارید کمک می‌کنید,کمک خواهید کرد,کمک کرده باشید,کمک بکنید,کمک بکنید
5,-,کمک کردند,کمک می‌کردند,داشتند کمک می‌کردند,کمک کرده‌اند,کمک کرده بودند,کمک کنند,کمک می‌کنند,دارند کمک می‌کنند,کمک خواهند کرد,کمک کرده باشند,کمک بکنند,کمک بکنند
0,کندن,کندم,می‌کندم,داشتم می‌کندم,کنده‌ام,کنده بودم,کنم,می‌کنم,دارم می‌کنم,خواهم کند,کنده باشم,بکنم,-
1,کند,کندی,می‌کندی,داشتی می‌کندی,کنده‌ای,کنده بودی,کنی,می‌کنی,داری می‌کنی,خواهی کند,کنده باشی,بکنی,بکن
2,کنده,کند,می‌کند,داشت می‌کند,کنده(است),کنده بود,کند,می‌کند,دارد می‌کند,خواهد کند,کنده باشد,بکند,بکند
3,کن,کندیم,می‌کندیم,داشتیم می‌کندیم,کنده‌ایم,کنده بودیم,کنیم,می‌کنیم,داریم می‌کنیم,خواهیم کند,کنده باشیم,بکنیم,بکنیم
4,-,کندید,می‌کندید,داشتید می‌کندید,کنده‌اید,کنده بودید,کنید,می‌کنید,دارید می‌کنید,خواهید کند,کنده باشید,بکنید,بکنید
5,-,کندند,می‌کندند,داشتند می‌کندند,کنده‌اند,کنده بودند,کنند,می‌کنند,دارند می‌کنند,خواهند کند,کنده باشند,بکنند,بکنند
0,کوبیدن,کوبیدم,می‌کوبیدم,داشتم می‌کوبیدم,کوبیده‌ام,کوبیده بودم,کوبم,می‌کوبم,دارم می‌کوبم,خواهم کوبید,کوبیده باشم,بکوبم,-
1,کوبید,کوبیدی,می‌کوبیدی,داشتی می‌کوبیدی,کوبیده‌ای,کوبیده بودی,کوبی,می‌کوبی,داری می‌کوبی,خواهی کوبید,کوبیده باشی,بکوبی,بکوب
2,کوبیده,کوبید,می‌کوبید,داشت می‌کوبید,کوبیده(است),کوبیده بود,کوبد,می‌کوبد,دارد می‌کوبد,خواهد کوبید,کوبیده باشد,بکوبد,بکوبد
3,کوب,کوبیدیم,می‌کوبیدیم,داشتیم می‌کوبیدیم,کوبیده‌ایم,کوبیده بودیم,کوبیم,می‌کوبیم,داریم می‌کوبیم,خواهیم کوبید,کوبیده باشیم,بکوبیم,بکوبیم
4,-,کوبیدید,می‌کوبیدید,داشتید می‌کوبیدید,کوبیده‌اید,کوبیده بودید,کوبید,می‌کوبید,دارید می‌کوبید,خواهید کوبید,کوبیده باشید,بکوبید,بکوبید
5,-,کوبیدند,می‌کوبیدند,داشتند می‌کوبیدند,کوبیده‌اند,کوبیده بودند,کوبند,می‌کوبند,دارند می‌کوبند,خواهند کوبید,کوبیده باشند,بکوبند,بکوبند
0,گذاشتن,گذاشتم,می‌گذاشتم,داشتم می‌گذاشتم,گذاشته‌ام,گذاشته بودم,گذارم,می‌گذارم,دارم می‌گذارم,خواهم گذاشت,گذاشته باشم,بگذارم,-
1,گذاشت,گذاشتی,می‌گذاشتی,داشتی می‌گذاشتی,گذاشته‌ای,گذاشته بودی,گذاری,می‌گذاری,داری می‌گذاری,خواهی گذاشت,گذاشته باشی,بگذاری,بگذار
2,گذاشته,گذاشت,می‌گذاشت,داشت می‌گذاشت,گذاشته(است),گذاشته بود,گذارد,می‌گذارد,دارد می‌گذارد,خواهد گذاشت,گذاشته باشد,بگذارد,بگذارد
